medcodeid,term,primary,ae,op,hospital
1951201000006112,discharge to acute hospital,,,,1
449808016,discharge to community hospital,,,,1
449806017,discharge to hospital,,,,1
8439271000006114,discharge to hospital at home service,,,,1
5959601000006113,discharge to long stay hospital,,,,1
5959621000006115,discharge to tertiary referral hospital,,,,1
7567391000006116,"ear, nose and throat clinic",,,1,
4723441000006113,"ear, nose and throat emergency hospital admission",,,,1
411571010,elderly assessment clinic,,,1,
1988051000006118,electronic prescription service exception - dispensing general practice not yet electronic prescription service compliant,,1,,
11997171000006111,emergency care attendance category - unplanned first emergency care attendance for a new clinical condition (or deterioration of a chronic condition),,1,,
283520011,emergency hospital admission,,,,1
4723761000006117,emergency hospital admission for asthma,,,,1
283550015,emergency hospital admission for asthma,,,,1
6763231000006119,emergency hospital admission for chronic obstructive pulmonary disease,,,,1
2160051010,emergency hospital admission for chronic obstructive pulmonary disease,,,,1
6763251000006114,emergency hospital admission for copd (chronic obstructive pulmonary disease),,,,1
6895651000006113,emergency hospital admission for heart failure,,,,1
2549208013,emergency hospital admission for heart failure,,,,1
585631000000113,emergency hospital admission for ischaemic heart disease,,,,1
7518981000006118,emergency hospital admission for ischaemic heart disease,,,,1
7519001000006115,emergency hospital admission for ischemic heart disease,,,,1
2186461000000117,emergency hospital admission from walk-in centre,,,,1
8458471000006117,emergency hospital admission to accident and emergency service,,,,1
8454501000006115,emergency hospital admission to addiction service,,,,1
8454611000006116,emergency hospital admission to adult cystic fibrosis service,,,,1
8458371000006113,emergency hospital admission to adult mental health service,,,,1
8458381000006111,emergency hospital admission to adult mental illness service,,,,1
8454081000006119,emergency hospital admission to allergy service,,,,1
8454751000006113,emergency hospital admission to audiological medicine service,,,,1
8454741000006111,emergency hospital admission to blood and marrow transplantation service,,,,1
8453091000006118,emergency hospital admission to breast surgery service,,,,1
8454511000006117,emergency hospital admission to burn care service,,,,1
8453411000006115,emergency hospital admission to cardiac rehabilitation service,,,,1
8453011000006111,emergency hospital admission to cardiac surgery service,,,,1
8453111000006110,emergency hospital admission to cardiothoracic transplantation surgery service,,,,1
8454031000006115,emergency hospital admission to child and adolescent psychiatry service,,,,1
8454761000006110,emergency hospital admission to clinical genetics service,,,,1
8453811000006117,emergency hospital admission to clinical immunology and allergy service,,,,1
8454071000006117,emergency hospital admission to clinical immunology service,,,,1
8453841000006118,emergency hospital admission to clinical neurophysiology service,,,,1
8453941000006111,emergency hospital admission to clinical oncology service,,,,1
8453781000006119,emergency hospital admission to clinical pharmacology service,,,,1
8453101000006112,emergency hospital admission to colorectal surgery service,,,,1
8453061000006114,emergency hospital admission to community paediatric service,,,,1
8458391000006114,emergency hospital admission to complex specialised rehabilitation service,,,,1
8454791000006119,emergency hospital admission to congenital heart disease service,,,,1
8453331000006119,emergency hospital admission to critical care medicine service,,,,1
8458401000006111,emergency hospital admission to dental medicine specialties service,,,,1
8453911000006112,emergency hospital admission to eating disorders service,,,,1
8453321000006117,emergency hospital admission to endocrinology service,,,,1
8453881000006112,emergency hospital admission to forensic psychiatry service,,,,1
8453311000006113,emergency hospital admission to gastroenterology service,,,,1
8453341000006112,emergency hospital admission to general medical service,,,,1
8453071000006119,emergency hospital admission to general surgical service,,,,1
8453831000006111,emergency hospital admission to genitourinary medicine service,,,,1
8454041000006113,emergency hospital admission to gynaecological oncology service,,,,1
8453791000006116,emergency hospital admission to haemophilia service,,,,1
8454681000006111,emergency hospital admission to hepatobiliary and pancreatic surgery service,,,,1
8453351000006114,emergency hospital admission to hepatology service,,,,1
8454631000006110,emergency hospital admission to infectious diseases service,,,,1
8453391000006115,emergency hospital admission to intermediate care service,,,,1
8453951000006113,emergency hospital admission to interventional radiology service,,,,1
8458421000006118,emergency hospital admission to learning disability service,,,,1
8458441000006113,emergency hospital admission to local specialist rehabilitation service,,,,1
8452951000006118,emergency hospital admission to maxillofacial surgery service,,,,1
8453991000006119,emergency hospital admission to medical oncology service,,,,1
8454051000006110,emergency hospital admission to medical ophthalmology service,,,,1
8453861000006119,emergency hospital admission to midwifery service,,,,1
8454651000006115,emergency hospital admission to neonatal critical care service,,,,1
8454001000006111,emergency hospital admission to nuclear medicine service,,,,1
8453671000006110,emergency hospital admission to orthodontics service,,,,1
8454711000006112,emergency hospital admission to paediatric audiological medicine service,,,,1
8454061000006112,emergency hospital admission to paediatric burn care service,,,,1
8453211000006116,emergency hospital admission to paediatric cardiac surgery service,,,,1
8453401000006118,emergency hospital admission to paediatric cardiology service,,,,1
8454531000006111,emergency hospital admission to paediatric clinical haematology service,,,,1
8454721000006116,emergency hospital admission to paediatric clinical immunology and allergy service,,,,1
8454581000006112,emergency hospital admission to paediatric cystic fibrosis service,,,,1
8453661000006115,emergency hospital admission to paediatric dentistry service,,,,1
8453271000006113,emergency hospital admission to paediatric dermatology service,,,,1
8453741000006113,emergency hospital admission to paediatric diabetes service,,,,1
8453161000006113,"emergency hospital admission to paediatric ear, nose and throat service",,,,1
8453251000006115,emergency hospital admission to paediatric endocrinology service,,,,1
8454701000006114,emergency hospital admission to paediatric epilepsy service,,,,1
8453241000006117,emergency hospital admission to paediatric gastroenterology service,,,,1
8453141000006114,emergency hospital admission to paediatric gastrointestinal surgery service,,,,1
8454551000006116,emergency hospital admission to paediatric infectious diseases service,,,,1
8453691000006111,emergency hospital admission to paediatric intensive care service,,,,1
8453761000006112,emergency hospital admission to paediatric interventional radiology service,,,,1
8453181000006115,emergency hospital admission to paediatric maxillofacial surgery service,,,,1
8453731000006115,emergency hospital admission to paediatric medical oncology service,,,,1
8454571000006114,emergency hospital admission to paediatric metabolic disease service,,,,1
8453291000006114,emergency hospital admission to paediatric nephrology service,,,,1
8453771000006117,emergency hospital admission to paediatric neurodisability service,,,,1
8454641000006117,emergency hospital admission to paediatric neurology service,,,,1
8453191000006117,emergency hospital admission to paediatric neurosurgery service,,,,1
8453171000006118,emergency hospital admission to paediatric ophthalmology service,,,,1
8453231000006110,emergency hospital admission to paediatric pain management service,,,,1
8453201000006119,emergency hospital admission to paediatric plastic surgery service,,,,1
8453281000006111,emergency hospital admission to paediatric respiratory medicine service,,,,1
8453301000006110,emergency hospital admission to paediatric rheumatology service,,,,1
8453681000006113,emergency hospital admission to paediatric surgical service,,,,1
8453221000006112,emergency hospital admission to paediatric thoracic surgery service,,,,1
8453711000006114,emergency hospital admission to paediatric transplantation surgery service,,,,1
8453721000006118,emergency hospital admission to paediatric trauma and orthopaedics surgery service,,,,1
8453131000006116,emergency hospital admission to paediatric urology service,,,,1
8453121000006119,emergency hospital admission to pain management service,,,,1
8453361000006111,emergency hospital admission to palliative medicine service,,,,1
8454671000006113,emergency hospital admission to perinatal psychiatry service,,,,1
8453851000006116,emergency hospital admission to podiatric surgery service,,,,1
8458451000006110,emergency hospital admission to programmed pulmonary rehabilitation service,,,,1
8454011000006114,emergency hospital admission to psychiatric intensive care service,,,,1
8454661000006118,emergency hospital admission to psychotherapy service,,,,1
8454771000006115,emergency hospital admission to rehabilitation service,,,,1
8454111000006113,emergency hospital admission to respiratory physiology service,,,,1
8453381000006118,emergency hospital admission to respite care service,,,,1
8453971000006115,emergency hospital admission to restorative dentistry service,,,,1
8454091000006116,emergency hospital admission to spinal injuries service,,,,1
8454691000006114,emergency hospital admission to spinal surgery service,,,,1
8454781000006117,emergency hospital admission to sport and exercise medicine service,,,,1
8453821000006113,emergency hospital admission to stroke service,,,,1
8453021000006115,emergency hospital admission to thoracic surgery service,,,,1
8454601000006119,emergency hospital admission to transient ischaemic attack service,,,,1
8453081000006116,emergency hospital admission to transplantation surgery service,,,,1
8453701000006111,emergency hospital admission to trauma and orthopaedics service,,,,1
8453981000006117,emergency hospital admission to tropical medicine service,,,,1
8453961000006110,emergency hospital admission to upper gastrointestinal surgery service,,,,1
8458461000006112,emergency hospital admission to well babies specialty,,,,1
7567411000006116,endocrinology clinic,,,1,
4723421000006118,ent emergency hospital admission,,,,1
283533017,ent emergency hospital admission,,,,1
1773281000006112,first outpatient appointment,,,1,
2533967016,first outpatient appointment date,,,1,
11639681000006118,follow-up by clinical nurse specialist,,,1,
763571000006116,follow-up in outpatient clinic,,,1,
1773291000006110,follow-up outpatient appointment,,,1,
3018361000006119,free-standing allergy clinic,,,1,
2522851000006110,free-standing breast clinic,,,1,
3592551000006111,free-standing clinic,,,1,
2853671000006113,free-standing dental clinic,,,1,
2853681000006111,free-standing dental health clinic,,,1,
2845231000006110,free-standing dermatology clinic,,,1,
3876871000006111,free-standing endocrinology clinic,,,1,
2763051000006116,free-standing eye clinic,,,1,
3409041000006116,free-standing family medicine clinic,,,1,
2706641000006116,free-standing gastroenterology clinic,,,1,
3088201000006114,free-standing general surgery clinic,,,1,
3174301000006112,free-standing geriatric clinic,,,1,
3174311000006110,free-standing gerontology clinic,,,1,
3989241000006111,free-standing gynaecology clinic,,,1,
3989251000006113,free-standing gynecology clinic,,,1,
2559101000006113,free-standing haematology clinic,,,1,
2559111000006111,free-standing hematology clinic,,,1,
3018351000006116,free-standing immunology clinic,,,1,
3624501000006119,free-standing infectious disease clinic,,,1,
3335441000006112,free-standing mental health clinic,,,1,
2767971000006115,free-standing neurology clinic,,,1,
3413471000006118,free-standing obstetrical clinic,,,1,
4218721000006116,free-standing oncology clinic,,,1,
2763041000006118,free-standing ophthalmology clinic,,,1,
3511631000006112,free-standing orl clinic,,,1,
3352561000006116,free-standing orthopaedics clinic,,,1,
3352571000006111,free-standing orthopedics clinic,,,1,
3511621000006114,free-standing otorhinolaryngology clinic,,,1,
3841241000006113,free-standing paediatric clinic,,,1,
3139371000006119,free-standing pain clinic,,,1,
3841251000006110,free-standing pediatric clinic,,,1,
2677051000006111,free-standing peripheral vascular clinic,,,1,
2716531000006112,free-standing physiatry clinic,,,1,
2716521000006114,free-standing physical medicine clinic,,,1,
3422281000006117,free-standing pneumology clinic,,,1,
3335451000006114,free-standing psychiatric clinic,,,1,
3223681000006114,free-standing rehabilitation clinic,,,1,
3422271000006115,free-standing respiratory disease clinic,,,1,
3635951000006114,free-standing rheumatology clinic,,,1,
3230571000006115,free-standing urology clinic,,,1,
7567461000006118,gastroenterology clinic,,,1,
300341000000117,general medicine outreach clinic,,,1,
3147991000006114,general outpatient clinic admission,,,,1
5574961000006112,geriatric clinic,,,1,
21651000000112,geriatric clinic admin.,,,1,
4723291000006115,geriatric emergency hospital admission,,,,1
283525018,geriatric emergency hospital admission,,,,1
3382171000006113,geriatric hospital,,,,1
4723341000006117,gynaecological emergency hospital admission,,,,1
12761931000006113,gynaecological emergency hospital admission,,,,1
7567491000006114,gynaecology clinic,,,1,
300271000000118,gynaecology outreach clinic,,,1,
4723361000006118,gynecological emergency hospital admission,,,,1
7567501000006118,gynecology clinic,,,1,
8463691000006117,h/o hospital admission for psychiatric disorder,,,,1
904741000006111,haematology (clinical) referral,,,1,
7567531000006114,haematology clinic,,,1,
283541017,haematology emergency hospital admission,,,,1
4723591000006117,haematology emergency hospital admission,,,,1
4309731000006119,hairy cell leukaemia (clinical),,,1,
7044731000006115,hap - hospital acquired pneumonia,,,1,
7567521000006111,headache clinic,,,1,
7567541000006116,hematology clinic,,,1,
4723611000006111,hematology emergency hospital admission,,,,1
7567561000006117,hemophilia clinic,,,1,
1672461000006117,hospital,,,,1
283592013,hospital admission,,,,1
2522381000006113,hospital admission for isolation,,,,1
3516811012,hospital admission from dialysis facility,,,,1
7976081000006119,hospital admission from non-health care facility,,,,1
62121000000114,hospital admission note,,,,1
3849401000006111,"hospital admission, blood donor",,,,1
4213471000006115,"hospital admission, boarder, for social reasons",,,,1
3650861000006111,"hospital admission, by legal authority (commitment)",,,,1
3326931000006118,"hospital admission, donor for transplant organ",,,,1
2639061000006119,"hospital admission, elective",,,,1
4213461000006110,"hospital admission, elective, with complete pre-admission work-up",,,,1
2747211000006110,"hospital admission, elective, with partial pre-admission work-up",,,,1
3828171000006117,"hospital admission, elective, without pre-admission work-up",,,,1
3779761000006116,"hospital admission, emergency, direct",,,,1
3696791000006119,"hospital admission, emergency, from emergency room",,,,1
2665021000006115,"hospital admission, emergency, from emergency room, accidental injury",,,,1
2816831000006113,"hospital admission, emergency, from emergency room, medical nature",,,,1
1823531000006111,"hospital admission, emergency, from walk-in centre",,,,1
1728541000006114,"hospital admission, emergency, indirect",,,,1
3743841000006111,"hospital admission, for observation",,,,1
2874641000006117,"hospital admission, for research investigation",,,,1
3533511000006110,"hospital admission, from remote area, by means of special transportation",,,,1
3475441000006118,"hospital admission, infant, for observation, delivered outside of hospital",,,,1
3355291000006118,"hospital admission, involuntary",,,,1
3659651000006117,"hospital admission, limited to designated procedures",,,,1
3265501000006112,"hospital admission, mother, for observation, delivered outside of hospital",,,,1
3334511000006110,"hospital admission, parent, for in-hospital child care",,,,1
2639071000006114,"hospital admission, planned",,,,1
3238161000006115,"hospital admission, precertified by medical audit action",,,,1
3091941000006112,"hospital admission, pre-nursing home placement",,,,1
3321091000006111,"hospital admission, short-term",,,,1
3716861000006114,"hospital admission, short-term, 24 hours",,,,1
3557761000006112,"hospital admission, short-term, day care",,,,1
3279631000006111,"hospital admission, special",,,,1
2571671000006112,"hospital admission, transfer from other hospital or health care facility",,,,1
2544801000006115,"hospital admission, type unclassified, explain by report",,,,1
2915861000006117,"hospital admission, under police custody",,,,1
2534841000006119,"hospital admission, urgent, 48 hours",,,,1
8104851000006114,hospital based outpatient care,,,1,
5999431000006112,hospital clinic,,,1,
1563381000006113,hospital inpatient,,,,1
397755014,hospital inpatient,,,,1
1563141000006117,hospital opd,,,1,
1563391000006111,hospital outpatients - in house,,,1,
3031621000006116,hospital outpatients department,,,1,
397754013,hospital patient,,,,1
1782016,hospital re-admission,,,,1
6217841000006114,hospital-based outpatient allergy clinic,,,1,
2908921000006114,hospital-based outpatient breast clinic,,,1,
3031611000006112,hospital-based outpatient clinic,,,1,
2662471000006115,hospital-based outpatient dental clinic,,,1,
2662481000006117,hospital-based outpatient dental health clinic,,,1,
1672561000006116,hospital-based outpatient department,,,1,
3104821000006118,hospital-based outpatient dermatology clinic,,,1,
3699361000006115,hospital-based outpatient emergency care center,,,1,
3699351000006117,hospital-based outpatient emergency care centre,,,1,
3699371000006110,hospital-based outpatient emergency room,,,1,
3697301000006110,hospital-based outpatient endocrinology clinic,,,1,
3770341000006110,hospital-based outpatient eye clinic,,,1,
3009401000006118,hospital-based outpatient family medicine clinic,,,1,
3450101000006116,hospital-based outpatient gastroenterology clinic,,,1,
3970601000006112,hospital-based outpatient general surgery clinic,,,1,
2527441000006112,hospital-based outpatient geriatric clinic,,,1,
2527451000006114,hospital-based outpatient gerontology clinic,,,1,
2859281000006111,hospital-based outpatient gynaecology clinic,,,1,
2859291000006114,hospital-based outpatient gynecology clinic,,,1,
3414801000006112,hospital-based outpatient haematology clinic,,,1,
3414811000006110,hospital-based outpatient hematology clinic,,,1,
6217961000006117,hospital-based outpatient immunology clinic,,,1,
2544411000006115,hospital-based outpatient infectious disease clinic,,,1,
2735751000006113,hospital-based outpatient mental health clinic,,,1,
3115801000006112,hospital-based outpatient neurology clinic,,,1,
3412911000006111,hospital-based outpatient obstetrical clinic,,,1,
3962521000006111,hospital-based outpatient oncology clinic,,,1,
3770331000006117,hospital-based outpatient ophthalmology clinic,,,1,
2873101000006112,hospital-based outpatient orl clinic,,,1,
3768961000006118,hospital-based outpatient orthopaedics clinic,,,1,
3768971000006113,hospital-based outpatient orthopedics clinic,,,1,
2873091000006118,hospital-based outpatient otorhinolaryngology clinic,,,1,
2558391000006113,hospital-based outpatient paediatric clinic,,,1,
3085021000006118,hospital-based outpatient pain clinic,,,1,
2558401000006110,hospital-based outpatient pediatric clinic,,,1,
2588581000006110,hospital-based outpatient peripheral vascular clinic,,,1,
3593531000006111,hospital-based outpatient physiatry clinic,,,1,
3593521000006113,hospital-based outpatient physical medicine clinic,,,1,
3428871000006117,hospital-based outpatient pneumology clinic,,,1,
2735761000006110,hospital-based outpatient psychiatric clinic,,,1,
3104731000006111,hospital-based outpatient rehabilitation clinic,,,1,
3428861000006112,hospital-based outpatient respiratory disease clinic,,,1,
2503721000006113,hospital-based outpatient rheumatology clinic,,,1,
3318861000006112,hospital-based outpatient urology clinic,,,1,
7567571000006112,hypertension clinic,,,1,
26091000000116,hypertension clinic administration,,,1,
856971000006112,hypertensive clinic,,,1,
7567581000006110,immunology clinic,,,1,
1955951000006115,inappropriate non-elective hospital admission,,,,1
7567601000006117,infectious disease clinic,,,1,
7567681000006114,internal medicine clinic,,,1,
971111000006119,intervention - hospital admission,,,,1
971131000006113,intervention - outpatient appointment,,,1,
1979441000006112,intervention session type: drop-in clinic,,,1,
1488570015,joint consultant clinic,,,1,
1574941000006114,joint consultant clinic referrals,,,1,
968361000006117,joint consultations clinic referral,,,1,
250569018,long stay hospital inpatient,,,,1
736561000006112,long stay hospital inpatient,,,,1
3016531000006118,long term care hospital,,,,1
1877281000006116,long term clinical rehabilitation needs,,,,1
7567711000006110,lymphoedema clinic,,,1,
4172661000006113,lymphoepithelioid lymphoma (clinical),,,1,
3133171000006119,medical clinic,,,1,
3515831000006114,mental hospital,,,1,
7567751000006111,mood or anxiety disorder clinic,,,1,
7567761000006113,movement disorder clinic,,,1,
7567781000006115,nephrology clinic,,,1,
7567791000006117,neurology clinic,,,1,
4723531000006116,neurology emergency hospital admission,,,1,
283538014,neurology emergency hospital admission,,,,1
7567801000006116,neuromuscular clinic,,,,1
7567811000006118,neurophysiology clinic,,,1,
7567821000006114,neuropsychology clinic,,,1,
7567831000006112,neurosurgery clinic,,,1,
283548011,neurosurgical emergency hospital admission,,,,1
4723721000006111,neurosurgical emergency hospital admission,,,,1
283553018,non-urgent hospital admission,,,,1
7570081000006114,nurse practitioner clinic,1,,,
26111000000114,obesity clinic administration,,,1,
7568351000006114,oncology clinic,,,1,
3031631000006118,opd - outpatients department,,,1,
4723471000006117,ophthalmological emergency hospital admission,,,,1
462221000006116,ophthalmological emergency hospital admission,,,,1
7567871000006110,ophthalmology clinic,,,1,
7568361000006111,oral and maxillofacial surgery clinic,,,1,
4723661000006114,oral surgical emergency hospital admission,,,,1
283545014,oral surgical emergency hospital admission,,,,1
7568371000006116,orthopaedic clinic,,,1,
283532010,orthopaedic emergency hospital admission,,,,1
4723391000006114,orthopaedic emergency hospital admission,,,,1
7568381000006118,orthopedic clinic,,,1,
4723411000006114,orthopedic emergency hospital admission,,,,1
7567881000006113,osteoporosis clinic,,,1,
1212307015,outpatient,,,1,
3528066016,outpatient care management,,,1,
8243821000006110,outpatient care management,,,1,
8306231000006118,outpatient care plan,,,1,
3516990010,outpatient care plan,,,1,
8049671000006119,outpatient clinic attendance,,,1,
8256061000006115,outpatient clinic attendance - administration letter,,,1,
8255991000006117,outpatient clinic attendance - consultant referral letter,,,1,
8256001000006116,outpatient clinic attendance - gp letter,,,1,
8256021000006114,outpatient clinic attendance - maxillofacial and tertiary letter,,,1,
8256041000006119,outpatient clinic attendance - no patient copy letter,,,1,
8256011000006118,outpatient clinic attendance - patient letter,,,1,
8256071000006110,outpatient clinic attendance - private practice letter,,,1,
8256031000006112,outpatient clinic attendance - results letter,,,1,
8256051000006117,outpatient clinic attendance - safeguarded letter,,,1,
2343951000000117,outpatient clinic letter received,,,1,
285476019,outreach clinic,,,1,
7567891000006111,pacemaker clinic,,,1,
7567901000006110,pain clinic,,,1,
7567911000006113,parkinson's disease clinic,,,1,
284397011,patient in hospital,,,,1
12452921000006115,patient reviewed at hospital,,,1,
1672501000006117,prison hospital,,,,1
1563721000006113,private hospital,,,,1
5993711000006110,private hospital,,,,1
4723271000006116,psychiatric emergency hospital admission,,,,1
283523013,psychiatric emergency hospital admission,,,,1
3515821000006111,psychiatric hospital,,,,1
300321000000112,psychiatric outreach clinic,,,1,
7568181000006115,psychiatry clinic,,,1,
5993781000006115,psychogeriatric day hospital,,,1,
4723681000006116,psychogeriatric emergency hospital admission,,,,1
283546010,psychogeriatric emergency hospital admission,,,,1
7568191000006117,psychology clinic,,,,1
1575511000006118,refer to a & e (clinic),,,1,
451813010,refer to day hospital,,,1,
2476476011,refer to hospital,,1,,
283795013,refer to hospital casualty,,1,,
283801016,refer to hospital casualty nos,,1,,
184781000006115,refer to hospital eye casualty,,1,,
283802011,refer to hospital opd,,,1,
4725421000006119,refer to hospital outpatient department,,,1,
283680015,refer to hospital registrar,,1,,
283685013,refer to pain clinic,,,1,
8368781000006112,referral to accident and emergency clinic,,1,,
8259601000006117,referral to alcohol misuse clinic,,,1,
8296911000006111,referral to anticoagulation clinic,,,1,
2533402016,referral to asthma clinic,,,1,
970911000006110,referral to asthma clinic,,,1,
11930001000006113,referral to atrial fibrillation clinic,,,1,
1755871000000117,referral to atrial fibrillation clinic,,,1,
284060014,referral to audiology clinic,,,1,
284074019,referral to back pain clinic,,,1,
754831000000118,referral to bone marrow transplantation clinic,,,1,
457042010,referral to breast clinic,,,1,
5952901000006114,referral to care of the elderly day hospital,,,1,
2533421012,referral to cataract clinic,,,1,
284057019,referral to clinic,,,1,
1886091000006116,referral to clinic - additional,,,1,
284078016,referral to clinic nos,,,1,
449244019,referral to clinical allergist,,,1,
448999010,referral to clinical allergy service,,,1,
472781000000111,referral to clinical assessment service,,,1,
5954031000006111,referral to clinical biochemist,,,1,
