conssourceid,description,primary care,ae,op,hospital
426,Contact method: G.P.Surgery,1,,,
2579,Emergency consultation,1,,,
2580,Emergency Gp Surgery,1,,,
3501,Nurse Flu Clinic,1,,,
3516,Nurses' Flu Clinic,1,,,
3633,Out Of Hours Prim Care Centre,1,,,
3648,Outpatient NHS,,,1,
3649,Outpatient NHS,,,1,
3650,Outpatient NHS,,,1,
3651,Outpatient NHS,,,1,
3652,Outpatient NHS,,,1,
3653,Outpatient NHS,,,1,
3654,Outpatient NHS,,,1,
3655,Outpatient NHS,,,1,
3656,Outpatient NHS,,,1,
4283,Telephone Advice,1,,,
4302,Telephone Surgery,1,,,
4387,Treatment Room,1,,,
4487,Urgent Slots,1,,,
5252,G.P.Surgery Urgent Consultation,1,,,
6006,Open Access Surgery,1,,,
7395,Diabetic Clinic,1,,,
10149,Seen in GP's surgery,1,,,
10303,Surgery,1,,,
5037,Duty Doctor Urgent Appointment,1,,,
3016,Hospital inpatient report,,,,1
