prodcodeid,productname,route,formulation,strength,bnfcode,diuretic
216041000033118,Carace 2.5mg tablets,Oral,Tablet,2.500mg,NA,1
217041000033116,Carace 20 Plus tablets,Oral,Tablet,12.500mg + 20.000mg,2050501,1
216141000033119,Carace 20mg tablets,Oral,Tablet,20.000mg,NA,1
216241000033114,Carace 5mg tablets,Oral,Tablet,5.000mg,NA,1
9121841000033110,Cardide SR 1.5mg tablets,Oral,Modified-release tablet,1.500mg,NA,1
234841000033110,Centyl K modified-release tablets,Oral,Modified-release tablet,2.500mg + 573.000mg,NA,1
372841000033114,Co-Betaloc SA tablets,Oral,Modified-release tablet,25.000mg + 200.000mg,NA,1
372741000033116,Co-Betaloc tablets,Oral,Tablet,12.500mg + 100.000mg,NA,1
3152541000033110,Co-Diovan 160mg/12.5mg tablets,Oral,Tablet,12.500mg + 160.000mg,2050502,1
3152641000033110,Co-Diovan 160mg/25mg tablets,Oral,Tablet,25.000mg + 160.000mg,2050502,1
3190841000033110,Co-Diovan 80mg/12.5mg tablets,Oral,Tablet,12.500mg + 80.000mg,2050502,1
376741000033115,Co-amilofruse 10mg/80mg tablets,Oral,Tablet,10.000mg + 80.000mg,2020400,1
376841000033113,Co-amilofruse 2.5mg/20mg tablets,Oral,Tablet,2.500mg + 20.000mg,2020400,1
376641000033112,Co-amilofruse 5mg/40mg tablets,Oral,Tablet,5.000mg + 40.000mg,2020400,1
5710441000033110,Co-amilofruse 5mg/40mg/5ml oral suspension,Oral,Oral suspension,1.000mg/1.000ml + 8.000mg/1.000ml,NA,1
376941000033117,Co-amilozide 2.5mg/25mg tablets,Oral,Tablet,2.500mg + 25.000mg,2020400,1
369141000033118,Co-amilozide 5mg/50mg tablets,Oral,Tablet,5.000mg + 50.000mg,2020400,1
351941000033111,Co-amilozide 5mg/50mg/5ml oral solution,Oral,Oral solution,1.000mg/1.000ml + 10.000mg/1.000ml,NA,1
377341000033119,Co-prenozide 160mg/0.25mg modified-release tablets,Oral,Modified-release tablet,250.000microgram + 160.000mg,NA,1
370241000033111,Co-triamterzide 50mg/25mg tablets,Oral,Tablet,25.000mg + 50.000mg,2020400,1
1893141000033110,Co-zidocapt 12.5mg/25mg tablets,Oral,Tablet,25.000mg + 12.500mg,2050501,1
1893241000033110,Co-zidocapt 25mg/50mg tablets,Oral,Tablet,50.000mg + 25.000mg,2050501,1
2216141000033110,CoAprovel 150mg/12.5mg tablets,Oral,Tablet,12.500mg + 150.000mg,2050502,1
2216241000033110,CoAprovel 300mg/12.5mg tablets,Oral,Tablet,12.500mg + 300.000mg,2050502,1
3995341000033110,CoAprovel 300mg/25mg tablets,Oral,Tablet,25.000mg + 300.000mg,NA,1
375441000033118,Corgaretic 40mg tablets,Oral,Tablet,5.000mg + 40.000mg,NA,1
375541000033117,Corgaretic 80mg tablets,Oral,Tablet,5.000mg + 80.000mg,NA,1
377541000033114,Coversyl 2mg tablets,Oral,Tablet,2.000mg,2050501,1
377641000033110,Coversyl 4mg tablets,Oral,Tablet,4.000mg,2050501,1
2846641000033110,Coversyl 8mg tablets,Oral,Tablet,8.000mg,2050501,1
4454441000033110,Coversyl Arginine 10mg tablets,Oral,Tablet,10.000mg,2050501,1
4454241000033110,Coversyl Arginine 2.5mg tablets,Oral,Tablet,2.500mg,2050501,1
4454341000033110,Coversyl Arginine 5mg tablets,Oral,Tablet,5.000mg,2050501,1
4454641000033110,Coversyl Arginine Plus 5mg/1.25mg tablets,Oral,Tablet,1.250mg + 5.000mg,2050501,1
2739541000033110,Coversyl Plus tablets,Oral,Tablet,1.250mg + 4.000mg,2050501,1
4424841000033110,Cozaar-Comp 100mg/12.5mg tablets,Oral,Tablet,12.500mg + 100.000mg,NA,1
3346941000033110,Cozaar-Comp 100mg/25mg tablets,Oral,Tablet,25.000mg + 100.000mg,NA,1
370841000033110,Cozaar-Comp 50mg/12.5mg tablets,Oral,Tablet,12.500mg + 50.000mg,2050502,1
395041000033117,Cyclopenthiazide 500microgram tablets,Oral,Tablet,500.000microgram,2020100,1
470541000033117,Diumide-K Continus tablets,Oral,Modified-release tablet,40.000mg + 600.000mg,NA,1
9808241000033110,Diuresal 500mg tablets,Oral,Tablet,500.000mg,NA,1
470741000033113,Diurexan 20mg tablets,Oral,Tablet,20.000mg,2020100,1
492341000033115,Dyazide 50mg/25mg tablets,Oral,Tablet,25.000mg + 50.000mg,2020400,1
3162241000033110,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,20.000mg + 12.500mg,2050501,1
4571241000033110,Ethibide XL 1.5mg tablets,Oral,Modified-release tablet,1.500mg,2020100,1
615541000033119,Froop 40mg tablets,Oral,Tablet,40.000mg,2020200,1
1611441000033110,Froop Co 5mg/40mg tablets,Oral,Tablet,5.000mg + 40.000mg,2020400,1
615241000033116,Fru-Co 5mg/40mg tablets,Oral,Tablet,5.000mg + 40.000mg,2020400,1
614641000033117,Frumil 40mg/5mg tablets,Oral,Tablet,5.000mg + 40.000mg,2020400,1
615641000033118,Frumil Forte 10mg/80mg tablets,Oral,Tablet,10.000mg + 80.000mg,2020400,1
614341000033113,Frumil LS 20mg/2.5mg tablets,Oral,Tablet,2.500mg + 20.000mg,2020400,1
615041000033112,Frusene 50mg/40mg tablets,Oral,Tablet,40.000mg + 50.000mg,2020400,1
615141000033111,Frusid 40mg tablets,Oral,Tablet,40.000mg,NA,1
1731541000033110,Frusol 20mg/5ml oral solution,Oral,Oral solution,4.000mg/1.000ml,2020200,1
1731641000033110,Frusol 40mg/5ml oral solution,Oral/ Gastroenteral,Oral solution,8.000mg/1.000ml,2020200,1
1731741000033110,Frusol 50mg/5ml oral solution,Oral,Oral solution,10.000mg/1.000ml,2020200,1
744941000033110,Hydrochlorothiazide 25mg tablets,Oral,Tablet,25.000mg,NA,1
745441000033118,Hydrochlorothiazide 50mg tablets,Oral,Tablet,50.000mg,NA,1
2746441000033110,Hydrochlorothiazide 50mg/5ml oral solution,Oral,Oral solution,10.000mg/1.000ml,NA,1
5969841000033110,Hydrochlorothiazide 5mg/5ml oral solution,Oral,Oral solution,1.000mg/1.000ml,NA,1
5969941000033110,Hydrochlorothiazide 5mg/5ml oral suspension,Oral,Oral suspension,1.000mg/1.000ml,NA,1
742541000033112,Hydrosaluric 25mg tablets,Oral,Tablet,25.000mg,NA,1
742641000033113,Hydrosaluric 50mg tablets,Oral,Tablet,50.000mg,NA,1
765741000033116,Indapamide 1.5mg modified-release tablets,Oral,Modified-release tablet,1.500mg,2020100,1
768641000033118,Indapamide 2.5mg tablets,Oral,Tablet,2.500mg,2020100,1
8197041000033110,Indapamide 2.5mg/5ml oral suspension,Oral,Oral suspension,500.000microgram/1.000ml,NA,1
756641000033114,Inderetic 80mg/2.5mg capsules,Oral,Capsule,2.500mg + 80.000mg,NA,1
756741000033117,Inderex 160mg/5mg modified-release capsules,Oral,Modified-release capsule,5.000mg + 160.000mg,NA,1
5053141000033110,Indipam XL 1.5mg tablets,Oral,Modified-release tablet,1.500mg,NA,1
770141000033115,Innozide 20mg/12.5mg tablets,Oral,Tablet,20.000mg + 12.500mg,2050501,1
3161141000033110,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 150.000mg,2050502,1
3161241000033110,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 300.000mg,2050502,1
3995241000033110,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,Oral,Tablet,25.000mg + 300.000mg,NA,1
793741000033117,Kalten capsules,Oral,Capsule,2.500mg + 50.000mg + 25.000mg,2040000,1
816141000033114,Lasikal modified-release tablets,Oral,Modified-release tablet,20.000mg + 750.000mg,NA,1
816341000033112,Lasix 20mg tablets,Oral,Tablet,20.000mg,2020200,1
816441000033118,Lasix 40mg tablets,Oral,Tablet,40.000mg,2020200,1
816541000033117,Lasix 500mg tablets,Oral,Tablet,500.000mg,2020200,1
812041000033114,Lasix 5mg/5ml oral solution,Oral,Oral solution,1.000mg/1.000ml,NA,1
818941000033112,Lasoride 5mg/40mg tablets,Oral,Tablet,5.000mg + 40.000mg,2020400,1
3160841000033110,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 10.000mg,2050501,1
3160941000033110,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 20.000mg,2050501,1
4424741000033110,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 100.000mg,NA,1
3346841000033110,Losartan 100mg / Hydrochlorothiazide 25mg tablets,Oral,Tablet,25.000mg + 100.000mg,NA,1
3161741000033110,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 50.000mg,2050502,1
5128741000033110,Mapemid XL 1.5mg tablets,Oral,Modified-release tablet,1.500mg,NA,1
896841000033116,Metenix 5mg tablets,Oral,Tablet,5.000mg,NA,1
8196441000033110,Metolazone 2.5mg tablets,Oral,Tablet,2.500mg,NA,1
903541000033116,Metolazone 5mg tablets,Oral,Tablet,5.000mg,2020100,1
3161341000033110,Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 100.000mg,NA,1
2864241000033110,MicardisPlus 40mg/12.5mg tablets,Oral,Tablet,12.500mg + 40.000mg,2050502,1
2864341000033110,MicardisPlus 80mg/12.5mg tablets,Oral,Tablet,12.500mg + 80.000mg,2050502,1
4548841000033110,MicardisPlus 80mg/25mg tablets,Oral,Tablet,25.000mg + 80.000mg,NA,1
935341000033118,Moducren tablets,Oral,Tablet,2.500mg + 25.000mg + 10.000mg,NA,1
935441000033112,Moduret 25 tablets,Oral,Tablet,2.500mg + 25.000mg,2020400,1
935541000033113,Moduretic 5mg/50mg tablets,Oral,Tablet,5.000mg + 50.000mg,2020400,1
937341000033111,Monozide 10 tablets,Oral,Tablet,10.000mg + 6.250mg,NA,1
955341000033117,Natrilix 2.5mg tablets,Oral,Tablet,2.500mg,2020100,1
953141000033119,Natrilix SR 1.5mg tablets,Oral,Modified-release tablet,1.500mg,2020100,1
955441000033111,Navidrex 500microgram tablets,Oral,Tablet,500.000microgram,2020100,1
956741000033114,Navispare 2.5mg/250microgram tablets,Oral,Tablet,2.500mg + 250.000microgram,2020400,1
6045641000033110,Neo-Naclex 2.5mg tablets,Oral,Tablet,2.500mg,NA,1
965341000033114,Neo-Naclex 5mg tablets,Oral,Tablet,5.000mg,2020100,1
967041000033118,Neo-Naclex-K modified-release tablets,Oral,Modified-release tablet,2.500mg + 630.000mg,NA,1
769741000033118,Nindaxa 2.5 tablets,Oral,Tablet,2.500mg,2020100,1
3908941000033110,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 20.000mg,2050502,1
3909041000033110,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets,Oral,Tablet,25.000mg + 20.000mg,2050502,1
5566341000033110,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 40.000mg,NA,1
3909141000033110,Olmetec Plus 20mg/12.5mg tablets,Oral,Tablet,12.500mg + 20.000mg,2050502,1
3909241000033110,Olmetec Plus 20mg/25mg tablets,Oral,Tablet,25.000mg + 20.000mg,2050502,1
5566441000033110,Olmetec Plus 40mg/12.5mg tablets,Oral,Tablet,12.500mg + 40.000mg,NA,1
4454541000033110,Perindopril arginine 5mg / Indapamide 1.25mg tablets,Oral,Tablet,1.250mg + 5.000mg,2050501,1
3161641000033110,Perindopril erbumine 4mg / Indapamide 1.25mg tablets,Oral,Tablet,1.250mg + 4.000mg,2050501,1
8263641000033110,Perindopril tosilate 5mg / Indapamide 1.25mg tablets,Oral,Tablet,1.250mg + 5.000mg,NA,1
1132741000033110,Prestim tablets,Oral,Tablet,2.500mg + 10.000mg,2040000,1
3160641000033110,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 10.000mg,2050501,1
5566041000033110,Rawel XL 1.5mg tablets,Oral,Modified-release tablet,1.500mg,NA,1
1274641000033110,Secadrex 200mg/12.5mg tablets,Oral,Tablet,200.000mg + 12.500mg,NA,1
5006141000033110,Sevikar 20mg/5mg tablets,Oral,Tablet,5.000mg + 20.000mg,2050502,1
5006341000033110,Sevikar 40mg/10mg tablets,Oral,Tablet,10.000mg + 40.000mg,2050502,1
5006241000033110,Sevikar 40mg/5mg tablets,Oral,Tablet,5.000mg + 40.000mg,2050502,1
6180641000033110,Sevikar HCT 20mg/5mg/12.5mg tablets,Oral,Tablet,5.000mg + 12.500mg + 20.000mg,2050502,1
6180841000033110,Sevikar HCT 40mg/10mg/12.5mg tablets,Oral,Tablet,10.000mg + 12.500mg + 40.000mg,2050502,1
6181041000033110,Sevikar HCT 40mg/10mg/25mg tablets,Oral,Tablet,10.000mg + 25.000mg + 40.000mg,2050502,1
6180741000033110,Sevikar HCT 40mg/5mg/12.5mg tablets,Oral,Tablet,5.000mg + 12.500mg + 40.000mg,2050502,1
6180941000033110,Sevikar HCT 40mg/5mg/25mg tablets,Oral,Tablet,5.000mg + 25.000mg + 40.000mg,2050502,1
3162641000033110,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 40.000mg,2050502,1
3162741000033110,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 80.000mg,2050502,1
4548741000033110,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,Oral,Tablet,25.000mg + 80.000mg,NA,1
1414241000033110,Tenben 25mg/1.25mg capsules,Oral,Capsule,25.000mg + 1.250mg,NA,1
4656741000033110,Tensaid XL 1.5mg tablets,Oral,Modified-release tablet,1.500mg,2020100,1
5376441000033110,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets,Oral,Tablet,2.500mg + 25.000mg + 10.000mg,NA,1
3346641000033110,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,Oral,Tablet,2.500mg + 10.000mg,2040000,1
1450141000033110,Torasemide 10mg tablets,Oral,Tablet,10.000mg,2020200,1
1450241000033110,Torasemide 2.5mg tablets,Oral,Tablet,2.500mg,2020200,1
1450341000033110,Torasemide 5mg tablets,Oral,Tablet,5.000mg,2020200,1
1449841000033110,Torem 10mg tablets,Oral,Tablet,10.000mg,2020200,1
1449941000033110,Torem 2.5mg tablets,Oral,Tablet,2.500mg,2020200,1
1450041000033110,Torem 5mg tablets,Oral,Tablet,5.000mg,2020200,1
1469941000033110,Trasidrex modified-release tablets,Oral,Modified-release tablet,250.000microgram + 160.000mg,NA,1
1470341000033110,Triam-Co 50mg/25mg tablets,Oral,Tablet,25.000mg + 50.000mg,2020400,1
1468141000033110,Triamaxco 50mg/25mg tablets,Oral,Tablet,25.000mg + 50.000mg,2020400,1
3161441000033110,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 160.000mg,2050502,1
3161541000033110,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,Oral,Tablet,25.000mg + 160.000mg,2050502,1
3190741000033110,Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,12.500mg + 80.000mg,2050502,1
5816741000033110,Varbim XL 1.5mg tablets,Oral,Modified-release tablet,1.500mg,NA,1
1543941000033110,Xipamide 20mg tablets,Oral,Tablet,20.000mg,2020100,1
8196541000033110,Zaroxolyn 2.5mg tablets,,Tablet,2.500mg,NA,1
8196641000033110,Zaroxolyn 5mg tablets,,Tablet,5.000mg,NA,1
1551841000033110,Zestoretic 10 tablets,Oral,Tablet,12.500mg + 10.000mg,2050501,1
1552341000033110,Zestoretic 20 tablets,Oral,Tablet,12.500mg + 20.000mg,2050501,1
