prodcodeid,dmdid,productname,formulation,routeofadministration,drugsubstancename,substancestrength,termfromemis,weak_opiate,strong_opiate,opiates_all,opiate_all
13497541000033100,38555211000001100,Co-codamol 8mg/500mg effervescent tablets sugar free,Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,co-codamol 8mg/500mg effervescent tablets sugar free,1,NA,1,1
1352541000033110,10411000001105,Solpadol 30mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,solpadol 30mg/500mg effervescent tablets (sanofi),1,NA,1,1
13582941000033100,8457311000001100,Dihydrocodeine 10mg/5ml oral suspension,Oral suspension,Oral,Dihydrocodeine tartrate,2.000mg/1.000ml,dihydrocodeine 10mg/5ml oral suspension,1,NA,1,1
1363841000033110,341211000001105,Solpadol 30mg/500mg caplets,Tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,solpadol 30mg/500mg caplets (sanofi),1,NA,1,1
1365241000033110,,,,,,,solpadeine tablets,1,NA,1,1
140841000033118,9106111000001100,Benylin with Codeine oral solution,Oral solution,Oral,Codeine phosphate/ Diphenhydramine hydrochloride/ Levomenthol,1.140mg/1.000ml + 2.800mg/1.000ml + 220.000microgram/1.000ml,benylin with codeine oral solution (pfizer consumer healthcare ltd),1,NA,1,1
1479641000033110,360311000001104,Tylex 30mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,tylex 30mg/500mg capsules (ucb pharma ltd),1,NA,1,1
1479741000033110,68111000001102,Tylex 30mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,tylex 30mg/500mg effervescent tablets (ucb pharma ltd),1,NA,1,1
1588741000033110,322323006,Co-codamol 30mg/500mg effervescent powder sachets sugar free, Effervescent powder,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,co-codamol 30mg/500mg effervescent powder sachets sugar free,1,NA,1,1
1621841000033110,3253711000001100,Kapake Insts 30mg/500mg effervescent powder sachets, Effervescent powder,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,kapake insts 30mg/500mg effervescent powder sachets (galen ltd),1,NA,1,1
1698041000033110,247311000001103,Solpadol 30mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,solpadol 30mg/500mg capsules (sanofi),1,NA,1,1
1741241000033110,3251511000001100,Kapake Insts 60mg/1000mg effervescent powder sachets, Effervescent powder,Oral,Codeine phosphate/ Paracetamol,60.000mg + 1.000gram,kapake insts 60mg/1000mg effervescent powder sachets (galen ltd),1,NA,1,1
1830841000033110,737111000001106,Kapake 30mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,kapake 30mg/500mg capsules (galen ltd),1,NA,1,1
2086141000033110,36090211000001100,Codeine phosphate powder,Not applicable,Route of administration not applicable,Codeine phosphate,1.000mg/1.000mg,codeine phosphate powder,1,NA,1,1
2645041000033110,320962001,,,,,,codeine 15mg/5ml linctus sugar free,1,NA,1,1
2745941000033110,314111000001106,Zapain 30mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,zapain 30mg/500mg capsules (advanz pharma),1,NA,1,1
2746141000033110,75011000001100,Zapain 30mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,zapain 30mg/500mg tablets (advanz pharma),1,NA,1,1
2850041000033110,3803111000001100,Codipar 15mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,codipar 15mg/500mg tablets (advanz pharma),1,NA,1,1
2875341000033110,3805611000001100,Co-codamol 15mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,co-codamol 15mg/500mg tablets,1,NA,1,1
294841000033118,322344006,Co-codamol 8mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,co-codamol 8mg/500mg capsules,1,NA,1,1
295341000033111,,,,,,,co-codamol 30/500 caplets,1,NA,1,1
295441000033117,322366004,Co-codamol 30mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,co-codamol 30mg/500mg capsules,1,NA,1,1
3057541000033110,7336011000001100,Kapake 30mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,kapake 30mg/500mg effervescent tablets (galen ltd),1,NA,1,1
3180141000033110,322368003,Co-dydramol 30mg/500mg tablets,Tablet,Oral,Dihydrocodeine tartrate/ Paracetamol,30.000mg + 500.000mg,co-dydramol 30mg/500mg tablets,1,NA,1,1
3180241000033110,322367008,Co-dydramol 20mg/500mg tablets,Tablet,Oral,Dihydrocodeine tartrate/ Paracetamol,20.000mg + 500.000mg,co-dydramol 20mg/500mg tablets,1,NA,1,1
318041000033114,,,,,,,co-codamol 8/500 dispersible tablets,1,NA,1,1
3229141000033110,36045211000001100,Ibuprofen 300mg modified-release / Codeine 20mg tablets,Modified-release tablet,Oral,Codeine phosphate/ Ibuprofen,20.000mg + 300.000mg,ibuprofen 300mg modified-release / codeine 20mg tablets,1,NA,1,1
326141000033118,322365000,Co-codamol 30mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,co-codamol 30mg/500mg effervescent tablets,1,NA,1,1
335641000033118,,,,,,,codeine linctus diabetic linctus 15 mg/5 ml,1,NA,1,1
335841000033117,,,,,,,codeine phosphate linctus 15 mg/5 ml,1,NA,1,1
336041000033115,35370211000001100,Codeine 3mg/5ml linctus paediatric,Oral solution,Oral,Codeine phosphate,600.000microgram/1.000ml,codeine 3mg/5ml linctus paediatric,1,NA,1,1
368441000033116,15065911000001100,Codeine 15mg/5ml linctus,Oral solution,Oral,Codeine phosphate,3.000mg/1.000ml,codeine 15mg/5ml linctus,1,NA,1,1
368541000033115,36566111000001100,Codeine 25mg/5ml oral solution,Oral solution,Oral,Codeine phosphate,5.000mg/1.000ml,codeine 25mg/5ml oral solution,1,NA,1,1
370641000033114,322341003,Co-codamol 30mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,co-codamol 30mg/500mg tablets,1,NA,1,1
371141000033111,322502004,Codeine 15mg tablets,Tablet,Oral,Codeine phosphate,15.000mg,codeine 15mg tablets,1,NA,1,1
371241000033116,322503009,Codeine 30mg tablets,Tablet,Oral,Codeine phosphate,30.000mg,codeine 30mg tablets,1,NA,1,1
371341000033114,322504003,Codeine 60mg tablets,Tablet,Oral,Codeine phosphate,60.000mg,codeine 60mg tablets,1,NA,1,1
372941000033118,322307006,Co-codamol 8mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,co-codamol 8mg/500mg tablets,1,NA,1,1
373041000033111,322343000,Co-codamol 8mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,co-codamol 8mg/500mg effervescent tablets,1,NA,1,1
373141000033110,322311000,Co-dydramol 10mg/500mg tablets,Tablet,Oral,Dihydrocodeine tartrate/ Paracetamol,10.000mg + 500.000mg,co-dydramol 10mg/500mg tablets,1,NA,1,1
3851441000033110,8427711000001100,Co-dydramol 10mg/500mg/5ml oral suspension,Oral suspension,Oral,Dihydrocodeine tartrate/ Paracetamol,2.000mg/1.000ml + 100.000mg/1.000ml,co-dydramol 10mg/500mg/5ml oral suspension,1,NA,1,1
3934341000033110,4956111000001100,Aspirin 500mg / Codeine 8mg dispersible tablets sugar free,Dispersible tablet,Oral,Aspirin/ Codeine phosphate,500.000mg + 8.000mg,aspirin 500mg / codeine 8mg dispersible tablets sugar free,1,NA,1,1
3934441000033110,4951811000001100,Codis 500 dispersible tablets,Dispersible tablet,Oral,Aspirin/ Codeine phosphate,500.000mg + 8.000mg,codis 500 dispersible tablets (reckitt benckiser healthcare (uk) ltd),1,NA,1,1
433341000033115,3037111000001100,DHC Continus 60mg tablets,Modified-release tablet,Oral,Dihydrocodeine tartrate,60.000mg,dhc continus 60mg tablets (napp pharmaceuticals ltd),1,NA,1,1
433441000033114,3037811000001100,DHC Continus 120mg tablets,Modified-release tablet,Oral,Dihydrocodeine tartrate,120.000mg,dhc continus 120mg tablets (napp pharmaceuticals ltd),1,NA,1,1
433541000033110,3037511000001100,DHC Continus 90mg tablets,Modified-release tablet,Oral,Dihydrocodeine tartrate,90.000mg,dhc continus 90mg tablets (napp pharmaceuticals ltd),1,NA,1,1
442841000033115,36098611000001100,Dihydrocodeine 10mg/5ml oral solution,Oral solution,Oral,Dihydrocodeine tartrate,2.000mg/1.000ml,dihydrocodeine 10mg/5ml oral solution,1,NA,1,1
443141000033119,,,,,,,dimotane with codeine elixir,1,NA,1,1
4432041000033110,772811000001100,Paracodol 8mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,paracodol 8mg/500mg capsules (bayer plc),1,NA,1,1
443241000033114,,,,,,,dimotane with codeine paediatric elixir,1,NA,1,1
443541000033111,,,,,,,dihydrocodeine tartrate elixir 10mg/5 ml,1,NA,1,1
4590641000033110,11579211000001100,Co-codamol 8mg/500mg caplets,Tablet,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,co-codamol 8mg/500mg caplets (vantage),1,NA,1,1
462841000033114,322553003,Dihydrocodeine 40mg tablets,Tablet,Oral,Dihydrocodeine tartrate,40.000mg,dihydrocodeine 40mg tablets,1,NA,1,1
468541000033110,322539003,Dihydrocodeine 30mg tablets,Tablet,Oral,Dihydrocodeine tartrate,30.000mg,dihydrocodeine 30mg tablets,1,NA,1,1
468641000033111,,,,,,,dihydrocodeine tartrate tablets 30 mg,1,NA,1,1
468741000033119,322546007,Dihydrocodeine 60mg modified-release tablets,Modified-release tablet,Oral,Dihydrocodeine tartrate,60.000mg,dihydrocodeine 60mg modified-release tablets,1,NA,1,1
469441000033116,322551001,Dihydrocodeine 120mg modified-release tablets,Modified-release tablet,Oral,Dihydrocodeine tartrate,120.000mg,dihydrocodeine 120mg modified-release tablets,1,NA,1,1
469541000033115,322550000,Dihydrocodeine 90mg modified-release tablets,Modified-release tablet,Oral,Dihydrocodeine tartrate,90.000mg,dihydrocodeine 90mg modified-release tablets,1,NA,1,1
5093541000033110,15885711000001100,Migraleve Ultra 50mg tablets,Tablet,Oral,Sumatriptan succinate,50.000mg,migraleve ultra 50mg tablets (mcneil products ltd),1,NA,1,1
5334541000033110,322379008,Co-codamol 12.8mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,12.800mg + 500.000mg,co-codamol 12.8mg/500mg tablets,1,NA,1,1
5891241000033110,13893011000001100,Co-dydramol 10mg/500mg/5ml oral solution,Oral solution,Oral,Dihydrocodeine tartrate/ Paracetamol,2.000mg/1.000ml + 100.000mg/1.000ml,co-dydramol 10mg/500mg/5ml oral solution,1,NA,1,1
6137941000033110,17572011000001100,Kapake 15mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,kapake 15mg/500mg tablets (galen ltd),1,NA,1,1
624441000033112,3446911000001100,Galcodine 15mg/5ml linctus,Oral solution,Oral,Codeine phosphate,3.000mg/1.000ml,galcodine 15mg/5ml linctus (thornton & ross ltd),1,NA,1,1
625141000033115,2979711000001100,Galcodine 3mg/5ml linctus paediatric,Oral solution,Oral,Codeine phosphate,600.000microgram/1.000ml,galcodine 3mg/5ml linctus paediatric (thornton & ross ltd),1,NA,1,1
6386441000033110,19230711000001100,Co-codamol 15mg/500mg effervescent tablets sugar free, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,co-codamol 15mg/500mg effervescent tablets sugar free,1,NA,1,1
6386541000033110,19207211000001100,Codipar 15mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,codipar 15mg/500mg effervescent tablets (advanz pharma),1,NA,1,1
6431341000033110,19200211000001100,Co-codamol 15mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,co-codamol 15mg/500mg capsules,1,NA,1,1
6431441000033110,19191911000001100,Codipar 15mg/500mg capsules,Capsule,Oral,Codeine phosphate/ Paracetamol,15.000mg + 500.000mg,codipar 15mg/500mg capsules (advanz pharma),1,NA,1,1
796641000033119,232711000001100,Kapake 30mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,kapake 30mg/500mg tablets (galen ltd),1,NA,1,1
8246141000033110,4924611000001100,Solpadeine Plus capsules,Capsule,Oral,Caffeine/ Codeine phosphate/ Paracetamol,30.000mg + 8.000mg + 500.000mg,solpadeine plus capsules (omega pharma ltd),1,NA,1,1
831641000033117,,,,,,,linctus of codeine linctus 15 mg/5 ml,1,NA,1,1
86941000033114,,,,,,,aspirin paracetamol and codeine tablets,1,NA,1,1
896341000033113,333936002,Meptazinol 200mg tablets,Tablet,Oral,Meptazinol hydrochloride,200.000mg,meptazinol 200mg tablets,1,NA,1,1
896441000033119,234611000001101,Meptid 200mg tablets,Tablet,Oral,Meptazinol hydrochloride,200.000mg,meptid 200mg tablets (almirall ltd),1,NA,1,1
916741000033116,3361311000001100,Migraleve Pink tablets,Tablet,Oral,Buclizine hydrochloride/ Codeine phosphate/ Paracetamol,6.250mg + 8.000mg + 500.000mg,migraleve pink tablets (mcneil products ltd),1,NA,1,1
918241000033114,3363411000001100,Migraleve tablets,Not applicable,,,,migraleve tablets (mcneil products ltd),1,NA,1,1
922541000033116,3359711000001100,Migraleve Yellow tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,migraleve yellow tablets (mcneil products ltd),1,NA,1,1
9292941000033110,604311000001102,Solpadeine Max 12.8mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,12.800mg + 500.000mg,solpadeine max 12.8mg/500mg tablets (omega pharma ltd),1,NA,1,1
10045241000033100,28565211000001100,Buprenorphine 1mg sublingual tablets sugar free,Sublingual tablet,Sublingual,Buprenorphine hydrochloride,1.000mg,buprenorphine 1mg sublingual tablets sugar free,NA,1,1,1
10045441000033100,28565811000001100,Buprenorphine 6mg sublingual tablets sugar free,Sublingual tablet,Sublingual,Buprenorphine hydrochloride,6.000mg,buprenorphine 6mg sublingual tablets sugar free,NA,1,1,1
10045641000033100,28565711000001100,Buprenorphine 4mg sublingual tablets sugar free,Sublingual tablet,Sublingual,Buprenorphine hydrochloride,4.000mg,buprenorphine 4mg sublingual tablets sugar free,NA,1,1,1
1013941000033110,,,,,,,oramorph sr m/r tablets 10 mg,NA,1,1,1
1014041000033110,,,,,,,oramorph sr m/r tablets 100 mg,NA,1,1,1
1014141000033110,,,,,,,oramorph sr m/r tablets 30 mg,NA,1,1,1
1014241000033110,,,,,,,oramorph sr m/r tablets 60 mg,NA,1,1,1
1014441000033110,3331611000001100,Oramorph 10mg/5ml oral solution unit dose vials,Oral solution,Oral,Morphine sulfate,2.000mg/1.000ml,oramorph 10mg/5ml oral solution unit dose vials (boehringer ingelheim ltd),NA,1,1,1
1014541000033110,3608411000001100,Oramorph 100mg/5ml oral solution unit dose vials,Oral solution,Oral,Morphine sulfate,20.000mg/1.000ml,oramorph 100mg/5ml oral solution unit dose vials (boehringer ingelheim ltd),NA,1,1,1
1014641000033110,3609711000001100,Oramorph 30mg/5ml oral solution unit dose vials,Oral solution,Oral,Morphine sulfate,6.000mg/1.000ml,oramorph 30mg/5ml oral solution unit dose vials (boehringer ingelheim ltd),NA,1,1,1
1014841000033110,3164311000001100,Oramorph 10mg/5ml oral solution,Oral solution,Oral,Morphine sulfate,2.000mg/1.000ml,oramorph 10mg/5ml oral solution (boehringer ingelheim ltd),NA,1,1,1
1014941000033110,3453511000001100,Oramorph 20mg/ml concentrated oral solution,Oral solution,Oral,Morphine sulfate,20.000mg/1.000ml,oramorph 20mg/ml concentrated oral solution (boehringer ingelheim ltd),NA,1,1,1
1025241000033110,,,,,,,oxycodone pectinate suppositories 30 mg,NA,1,1,1
10333141000033100,29650311000001100,Oxeltra 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,oxeltra 5mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333241000033100,29677811000001100,Oxeltra 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,oxeltra 10mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333341000033100,29678111000001100,Oxeltra 15mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,15.000mg,oxeltra 15mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333441000033100,29678311000001100,Oxeltra 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,oxeltra 20mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333541000033100,29677211000001100,Oxeltra 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,oxeltra 30mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333641000033100,29677611000001100,Oxeltra 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,oxeltra 40mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333741000033100,29677411000001100,Oxeltra 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,oxeltra 60mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
10333841000033100,29676711000001100,Oxeltra 80mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,oxeltra 80mg modified-release tablets (wockhardt uk ltd),NA,1,1,1
1044641000033110,322600003,Pentazocine 50mg capsules,Capsule,Oral,Pentazocine hydrochloride,50.000mg,pentazocine 50mg capsules,NA,1,1,1
10491541000033100,29838411000001100,Longtec 15mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,15.000mg,longtec 15mg modified-release tablets (qdem pharmaceuticals ltd),NA,1,1,1
10491641000033100,29838611000001100,Longtec 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,longtec 30mg modified-release tablets (qdem pharmaceuticals ltd),NA,1,1,1
10492041000033100,29838811000001100,Longtec 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,longtec 60mg modified-release tablets (qdem pharmaceuticals ltd),NA,1,1,1
10492241000033100,29838211000001100,Longtec 120mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,120.000mg,longtec 120mg modified-release tablets (qdem pharmaceuticals ltd),NA,1,1,1
10597841000033100,30003011000001100,Yemex 100micrograms/hour transdermal patches,Transdermal patch,Transdermal,Fentanyl,100.000microgram/1.000hour,yemex 100micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
10597941000033100,30002711000001100,Yemex 75micrograms/hour transdermal patches,Transdermal patch,Transdermal,Fentanyl,75.000microgram/1.000hour,yemex 75micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
10598041000033100,30002211000001100,Yemex 50micrograms/hour transdermal patches,Transdermal patch,Transdermal,Fentanyl,50.000microgram/1.000hour,yemex 50micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
10598141000033100,30002011000001100,Yemex 25micrograms/hour transdermal patches,Transdermal patch,Transdermal,Fentanyl,25.000microgram/1.000hour,yemex 25micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
10598241000033100,30001711000001100,Yemex 12micrograms/hour transdermal patches,Transdermal patch,Transdermal,Fentanyl,12.000microgram/1.000hour,yemex 12micrograms/hour transdermal patches (sandoz ltd),NA,1,1,1
1063141000033110,322604007,Pentazocine 50mg suppositories,Suppository,Rectal,Pentazocine lactate,50.000mg,pentazocine 50mg suppositories,NA,1,1,1
10641441000033100,30719311000001100,Abtard 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,abtard 5mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10641541000033100,30719811000001100,Abtard 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,abtard 10mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10641641000033100,30720111000001100,Abtard 15mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,15.000mg,abtard 15mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10641741000033100,30720511000001100,Abtard 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,abtard 20mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10641841000033100,30721111000001100,Abtard 30mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,30.000mg,abtard 30mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10641941000033100,30720811000001100,Abtard 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,abtard 40mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10642041000033100,30721411000001100,Abtard 60mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,60.000mg,abtard 60mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
10642141000033100,30721711000001100,Abtard 80mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,abtard 80mg modified-release tablets (ethypharm uk ltd),NA,1,1,1
1065641000033110,322612004,Pethidine 50mg tablets,Tablet,Oral,Pethidine hydrochloride,50.000mg,pethidine 50mg tablets,NA,1,1,1
1066841000033110,,,,,,,pethidine hydrochloride tablets 25 mg,NA,1,1,1
1068041000033110,322601004,Pentazocine 25mg tablets,Tablet,Oral,Pentazocine hydrochloride,25.000mg,pentazocine 25mg tablets,NA,1,1,1
10984841000033100,31322211000001100,Carexil 5mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,5.000mg,carexil 5mg modified-release tablets (sandoz ltd),NA,1,1,1
10984941000033100,31323511000001100,Carexil 10mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,10.000mg,carexil 10mg modified-release tablets (sandoz ltd),NA,1,1,1
10985141000033100,31324011000001100,Carexil 20mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,20.000mg,carexil 20mg modified-release tablets (sandoz ltd),NA,1,1,1
11029341000033100,31279211000001100,Butec 5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,5.000microgram/1.000hour,butec 5micrograms/hour transdermal patches (qdem pharmaceuticals ltd),NA,1,1,1
11029441000033100,31278911000001100,Butec 10micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,10.000microgram/1.000hour,butec 10micrograms/hour transdermal patches (qdem pharmaceuticals ltd),NA,1,1,1
11029541000033100,31278611000001100,Butec 20micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,20.000microgram/1.000hour,butec 20micrograms/hour transdermal patches (qdem pharmaceuticals ltd),NA,1,1,1
1103241000033110,,,,,,,ponoxylan gel 10 %,NA,1,1,1
11077041000033100,32038411000001100,Buprenorphine 15micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,15.000microgram/1.000hour,buprenorphine 15micrograms/hour transdermal patches,NA,1,1,1
11077241000033100,31877211000001100,BuTrans 15micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,15.000microgram/1.000hour,butrans 15micrograms/hour transdermal patches (napp pharmaceuticals ltd),NA,1,1,1
11469241000033100,421136001,Fentanyl 40micrograms/dose transdermal system,Transdermal system,Transdermal,Fentanyl,40.000microgram/1.000dose,fentanyl 40micrograms/dose transdermal system,NA,1,1,1
11484341000033100,32484211000001100,Bupeaze 35micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,35.000microgram/1.000hour,bupeaze 35micrograms/hour transdermal patches (dr reddy's laboratories (uk) ltd),NA,1,1,1
11484441000033100,32484411000001100,Bupeaze 52.5micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,52.500microgram/1.000hour,bupeaze 52.5micrograms/hour transdermal patches (dr reddy's laboratories (uk) ltd),NA,1,1,1
11484541000033100,32484611000001100,Bupeaze 70micrograms/hour transdermal patches,Transdermal patch,Transdermal,Buprenorphine,70.000microgram/1.000hour,bupeaze 70micrograms/hour transdermal patches (dr reddy's laboratories (uk) ltd),NA,1,1,1
11489741000033100,32196811000001100,Carexil 40mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,40.000mg,carexil 40mg modified-release tablets (sandoz ltd),NA,1,1,1
11489841000033100,32197311000001100,Carexil 80mg modified-release tablets,Modified-release tablet,Oral,Oxycodone hydrochloride,80.000mg,carexil 80mg modified-release tablets (sandoz ltd),NA,1,1,1
11507641000033100,32520211000001100,Victanyl 12micrograms/hour transdermal patches,Transdermal patch,Transdermal,Fentanyl,12.000microgram/1.000hour,victanyl 12micrograms/hour transdermal patches (accord healthcare ltd),NA,1,1,1
