prodcodeid,dmdid,productname,formulation,routeofadministration,drugsubstancename,substancestrength,termfromemis,paracetamol
2215141000033110,322284000,,,,,,paracetamol 250mg/5ml oral suspension sugar free,1
2269341000033110,,,,,,,paracetamol oral suspension (sugar-free) 250 mg/5 ml,1
2711441000033110,,,,,,,paracetamol caplets 500 mg,1
2827541000033110,24580811000001100,Paracetamol 80mg suppositories,Suppository,Rectal,Paracetamol,80.000mg,paracetamol 80mg suppositories,1
2827641000033110,,,,,,,paracetamol suppositories 150 mg,1
2827741000033110,,,,,,,paracetamol suppositories 350 mg,1
2827841000033110,,,,,,,paracetamol suppositories 600 mg,1
2828141000033110,,,,,,,paracetamol suppositories 300 mg,1
2828441000033110,,,,,,,paracetamol suppositories 100 mg,1
2828541000033110,,,,,,,paracetamol suppositories 200 mg,1
2850241000033110,,,,,,,paracetamol oral suspension (christies formula) 500 mg/5 ml,1
2920041000033110,3559811000001100,Paracetamol 120mg/5ml oral suspension 5ml sachets sugar free,Oral suspension,Oral,Paracetamol,24.000mg/1.000ml,paracetamol 120mg/5ml oral suspension 5ml sachets sugar free,1
2941841000033110,,,,,,,panadol night tablets,1
2968741000033110,550611000001102,Panadol 500mg capsules,Capsule,Oral,Paracetamol,500.000mg,panadol 500mg capsules (glaxosmithkline consumer healthcare),1
2968841000033110,841911000001103,Panadol Ultra 12.8mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,12.800mg + 500.000mg,panadol ultra 12.8mg/500mg tablets (glaxosmithkline consumer healthcare),1
3179741000033110,322780008,Paracetamol 500mg / Domperidone 10mg tablets,Tablet,Oral,Domperidone maleate/ Paracetamol,10.000mg + 500.000mg,paracetamol 500mg / domperidone 10mg tablets,1
3179841000033110,322804009,Paracetamol 325mg / Isometheptene 65mg capsules,Capsule,Oral,Isometheptene mucate/ Paracetamol,65.000mg + 325.000mg,paracetamol 325mg / isometheptene 65mg capsules,1
3180041000033110,322788001,Paracetamol 500mg / Metoclopramide 5mg effervescent powder sachets sugar free, Effervescent powder,Oral,Metoclopramide hydrochloride/ Paracetamol,5.000mg + 500.000mg,paracetamol 500mg / metoclopramide 5mg effervescent powder sachets sugar free,1
36141000033119,685211000001107,Alvedon 125mg suppositories,Suppository,Rectal,Paracetamol,125.000mg,alvedon 125mg suppositories (intrapharm laboratories ltd),1
3859241000033110,3437211000001100,Paracetamol 250mg orodispersible tablets sugar free,Orodispersible tablet,Oral,Paracetamol,250.000mg,paracetamol 250mg orodispersible tablets sugar free,1
388541000033118,107711000001106,Medinol Paediatric paracetamol 120mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,24.000mg/1.000ml,medinol paediatric paracetamol 120mg/5ml oral suspension (ssl international plc),1
388641000033117,102811000001101,Medinol Over 6 paracetamol 250mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,50.000mg/1.000ml,medinol over 6 paracetamol 250mg/5ml oral suspension (ssl international plc),1
4417841000033110,317611000001109,Mandanol 500mg tablets,Tablet,Oral,Paracetamol,500.000mg,mandanol 500mg tablets (m & a pharmachem ltd),1
4500141000033110,744411000001105,Paldesic paracetamol 120mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,24.000mg/1.000ml,paldesic paracetamol 120mg/5ml oral suspension (rosemont pharmaceuticals ltd),1
4508141000033110,322281008,,,,,,paracetamol 120mg/5ml oral solution paediatric sugar free,1
456241000033118,522211000001104,Disprol Paracetamol 120mg soluble tablets,Soluble tablet,Oral,Paracetamol,120.000mg,disprol paracetamol 120mg soluble tablets (reckitt benckiser healthcare (uk) ltd),1
456541000033116,8149511000001100,Disprol Paracetamol 120mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,24.000mg/1.000ml,disprol paracetamol 120mg/5ml oral suspension (reckitt benckiser healthcare (uk) ltd),1
5100741000033110,74811000001105,Paldesic paracetamol 250mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,50.000mg/1.000ml,paldesic paracetamol 250mg/5ml oral suspension (rosemont pharmaceuticals ltd),1
5132541000033110,,,,,,,panadol night caplets,1
5132641000033110,,,,,,,panadol extend tablets,1
5132741000033110,,,,,,,panadol cold & flu hot lemon & honey sachets,1
5132841000033110,,,,,,,panadol cold & flu caplets,1
5132941000033110,,,,,,,panadol cold & flu day caplets,1
5134141000033110,,,,,,,panadol extra tablets,1
5151441000033110,,,,,,,panadol sinus caplets,1
5151541000033110,,,,,,,panadol actifast caplets,1
5415041000033110,16655311000001100,Panadol OA 1000mg tablets,Tablet,Oral,Paracetamol,1.000gram,panadol oa 1000mg tablets (glaxosmithkline consumer healthcare),1
5576941000033110,4490411000001100,Panadol NightPain tablets,Tablet,Oral,Diphenhydramine hydrochloride/ Paracetamol,25.000mg + 500.000mg,panadol nightpain tablets (glaxosmithkline consumer healthcare),1
5844841000033110,8801011000001100,Paracetamol 1g suppositories,Suppository,Rectal,Paracetamol,1.000gram,paracetamol 1g suppositories,1
5890041000033110,13893811000001100,Paracetamol 500mg/5ml oral solution,Oral solution,Oral,Paracetamol,100.000mg/1.000ml,paracetamol 500mg/5ml oral solution,1
5896641000033110,638311000001103,Panadol ActiFast Soluble tablets, Effervescent tablet,Oral,Paracetamol,500.000mg,panadol actifast soluble tablets (glaxosmithkline consumer healthcare),1
6001941000033110,8671111000001100,Paracetamol 500mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,100.000mg/1.000ml,paracetamol 500mg/5ml oral suspension,1
6466941000033110,4957511000001100,Paracetamol 250mg/5ml oral suspension 5ml sachets sugar free,Oral suspension,Oral,Paracetamol,50.000mg/1.000ml,paracetamol 250mg/5ml oral suspension 5ml sachets sugar free,1
8028141000033110,,,,,,,panadol elixir 240 mg/5 ml,1
8116141000033110,8982411000001100,Mandanol 6+ paracetamol 250mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,50.000mg/1.000ml,mandanol 6+ paracetamol 250mg/5ml oral suspension (m & a pharmachem ltd),1
8199741000033110,21636411000001100,Paracetamol 500mg/5ml oral suspension sugar free,Oral suspension,Oral,Paracetamol,100.000mg/1.000ml,paracetamol 500mg/5ml oral suspension sugar free,1
8534841000033110,8982611000001100,Mandanol Infant paracetamol 120mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,24.000mg/1.000ml,mandanol infant paracetamol 120mg/5ml oral suspension (m & a pharmachem ltd),1
9088341000033110,24014911000001100,Paracetamol 500mg/5ml oral solution sugar free,Oral solution,Oral,Paracetamol,100.000mg/1.000ml,paracetamol 500mg/5ml oral solution sugar free,1
9808341000033110,67111000001103,Mandanol 500mg caplets,Tablet,Oral,Paracetamol,500.000mg,mandanol 500mg caplets (m & a pharmachem ltd),1
