medcodeid,readcode,readterm,stroke
605501000006117,G66..11,cva unspecified,1
122401000006115,G66..12,stroke unspecified,1
605491000006113,G66..13,cva - cerebrovascular accident unspecified,1
300362017,G660.00,middle cerebral artery syndrome,1
300363010,G661.00,anterior cerebral artery syndrome,1
300364016,G662.00,posterior cerebral artery syndrome,1
524511000006116,G663.00,brain stem stroke syndrome,1
300366019,G664.00,cerebellar stroke syndrome,1
345655015,G665.00,pure motor lacunar syndrome,1
345658018,G666.00,pure sensory lacunar syndrome,1
300370010,G667.00,left sided cva,1
300371014,G668.00,right sided cva,1
800691000006113,G671.00,generalised ischaemic cerebrovascular disease nos,1
300380014,G671000,acute cerebrovascular insufficiency nos,1
300379011,G671z00,generalised ischaemic cerebrovascular disease nos,1
542251000006112,G676000,cereb infarct due cerebral venous thrombosis;nonpyogenic,1
300395011,G677000,occlusion and stenosis of middle cerebral artery,1
300396012,G677100,occlusion and stenosis of anterior cerebral artery,1
300398013,G677200,occlusion and stenosis of posterior cerebral artery,1
300399017,G677300,occlusion and stenosis of cerebellar arteries,1
267311000006118,G677400,occlusion+stenosis of multiple and bilat cerebral arteries,1
1130181000000110,G679.00,small vessel cerebrovascular disease,1
300401011,G67y.00,other cerebrovascular disease os,1
300402016,G67z.00,other cerebrovascular disease nos,1
542261000006114,G6W..00,cereb infarct due unsp occlus/stenos precerebr arteries,1
543141000006110,G6X..00,cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,1
300418010,G6y..00,other specified cerebrovascular disease,1
300419019,G6z..00,cerebrovascular disease nos,1
370711000006115,Gyu6.00,[x]cerebrovascular diseases,1
300935019,Gyu6000,[x]subarachnoid haemorrhage from other intracranial arteries,1
300936018,Gyu6100,[x]other subarachnoid haemorrhage,1
300939013,Gyu6200,[x]other intracerebral haemorrhage,1
370701000006118,Gyu6300,[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,1
300941014,Gyu6400,[x]other cerebral infarction,1
300942019,Gyu6500,[x]occlusion and stenosis of other precerebral arteries,1
300943012,Gyu6600,[x]occlusion and stenosis of other cerebral arteries,1
428181000006115,Gyu6E00,[x]subarachnoid haemorrh from intracranial artery;unspecif,1
300956017,Gyu6F00,[x]intracerebral haemorrhage in hemisphere;unspecified,1
370661000006114,Gyu6G00,[x]cereb infarct due unsp occlus/stenos precerebr arteries,1
605481000006110,L440.11,cva - cerebrovascular accident in the puerperium,1
411416011,L440.12,stroke in the puerperium,1
1667741000000110,ZV12D00,[V]Personal history of transient ischaemic attack,1
