medcode,medcodeid,readcode,readcode5B,snomedctconceptid,snomedctdescriptionid,term,asthma
31225,1208954011,663t.00,663t.,370202007,1208954011,Asthma causes daytime symptoms 1 to 2 times per month,1
24884,1208955012,663u.00,663u.,370203002,1208955012,Asthma causes daytime symptoms 1 to 2 times per week,1
26503,1208956013,663v.00,663v.,370204008,1208956013,Asthma causes daytime symptoms most days,1
38144,1208959018,663w.00,663w.,370207001,1208959018,Asthma limits walking up hills or stairs,1
38145,1208958014,663x.00,663x.,370206005,1208958014,Asthma limits walking on the flat,1
9018,1208962015,663y.00,663y.,366874008,490425015,Number of asthma exacerbations in past year,1
9552,1484905010,66Y5.00,66Y5.,390872009,1484905010,Change in asthma management plan,1
9663,1484910014,66Y9.00,66Y9.,390877003,1484910014,Step up change in asthma management plan,1
18223,1484911013,66YA.00,66YA.,390878008,1484911013,Step down change in asthma management plan,1
41020,1484953014,66YC.00,66YC.,390921001,1484953014,Absent from work or school due to asthma,1
10043,1488421017,66YJ.00,66YJ.,394700004,1488421017,Asthma annual review,1
13176,1488422012,66YK.00,66YK.,394701000,1488422012,Asthma follow-up,1
31167,1488722011,66YP.00,66YP.,395022009,1488722011,Asthma night-time symptoms,1
19167,1780378019,66YQ.00,66YQ.,401182001,1780378019,Asthma monitoring by nurse,1
30458,1780379010,66YR.00,66YR.,401183006,1780379010,Asthma monitoring by doctor,1
102170,1753401000006110,66Yp.00,66Yp.,7.54061E+14,1.65878E+15,Asthma review using Roy Colleg of Physicians three questions,1
102400,1722421000000110,66Yq.00,66Yq.,7.71901E+14,1.72242E+15,Asthma causes night time symptoms 1 to 2 times per week,1
102395,1722501000000110,66Yr.00,66Yr.,7.71941E+14,1.7225E+15,Asthma causes symptoms most nights,1
103612,1768981000000110,66Ys.00,66Ys.,473391009,2956621015,Asthma never causes night symptoms,1
107167,1811901000006110,66Yu.00,66Yu.,8.11151E+14,2.11617E+15,Number days absent from school due to asthma in past 6 month,1
100107,1176501000000110,679J000,679J0,5.27191E+14,1.1765E+15,Health education - asthma self management,1
100740,1176541000000110,679J100,679J1,5.27211E+14,1.17654E+15,Health education - structured asthma discussion,1
103318,1739871000006110,679J200,679J2,5.27231E+14,1.17658E+15,Health education - structured patient focused asthma discuss,1
24506,797211000006117,8791,8791,182724005,282486014,Further asthma - drug prevent.,1
16785,282489019,8794,8794,182727003,282489019,Asthma control step 1,1
16667,282490011,8795,8795,182728008,282490011,Asthma control step 2,1
18224,282491010,8796,8796,182729000,282491010,Asthma control step 3,1
20886,282492015,8797,8797,182730005,282492015,Asthma control step 4,1
20860,282493013,8798,8798,182731009,282493013,Asthma control step 5,1
10274,1488436019,8B3j.00,8B3j.,394720003,1488436019,Asthma medication review,1
99793,1176461000000110,8CMA000,8CMA0,5.27171E+14,1.17646E+15,Patient has a written asthma personal action plan,1
25791,2474332015,8CR0.00,8CR0.,736056000,3516216012,Asthma clinical management plan,1
7058,283550015,8H2P.00,8H2P.,183478001,3082895019,"Emergency admission, asthma",1
100509,1139131000000110,9NNX.00,9NNX.,698509001,2974554010,Under care of asthma specialist nurse,1
46529,285727014,9OJ1.00,9OJ1.,185728001,285727014,Attends asthma monitoring,1
19539,405055018,9OJA.00,9OJA.,270442000,405055018,Asthma monitoring check done,1
8355,405054019,9OJA.11,9OJA.,270442000,405054019,Asthma monitored,1
5798,301450011,H312000,H3120,195949008,301450011,Chronic asthmatic bronchitis,1
78,301485011,H33..00,H33..,195967001,301485011,Asthma,1
1555,301480018,H33..11,H33..,195967001,301480018,Bronchial asthma,1
7146,660351000006118,H330.00,H330.,389145006,1493645010,Extrinsic (atopic) asthma,1
2290,1483199016,H330.11,H330.,389145006,1483199016,Allergic asthma,1
15248,817361000006114,H330.13,H330.,233683003,350153016,Hay fever with asthma,1
7731,350154010,H330.14,H330.,233683003,350154010,Pollen asthma,1
14777,104872017,H330000,H3300,63088003,104872017,Extrinsic asthma without status asthmaticus,1
5627,350153016,H330011,H3300,233683003,350153016,Hay fever with asthma,1
27926,151338014,H330100,H3301,1.0867E+15,2.72223E+15,Extrinsic asthma with status asthmaticus,1
6707,350151019,H330111,H3301,708093000,3083642013,Extrinsic asthma with asthma attack,1
45782,301499010,H330z00,H330z,424643009,2648327010,Extrinsic asthma NOS,1
5267,396114013,H331.00,H331.,266361008,396114013,Intrinsic asthma,1
3665,350148014,H331.11,H331.,233679003,350148014,Late onset asthma,1
29325,21390015,H331000,H3310,12428000,21390015,Intrinsic asthma without status asthmaticus,1
58196,98546013,H331100,H3311,1.08671E+15,2.72226E+15,Intrinsic asthma with status asthmaticus,1
18323,350156012,H331111,H3311,708094006,3032866010,Intrinsic asthma with asthma attack,1
45073,301508013,H331z00,H331z,266361008,396114013,Intrinsic asthma NOS,1
185,419211018,H333.00,H333.,708038006,3032747019,Acute exacerbation of asthma,1
40823,338238011,H334.00,H334.,225057002,338238011,Brittle asthma,1
106805,2240591000000110,H335.00,H335.,8.66881E+14,2.24059E+15,Chronic asthma with fixed airflow obstruction,1
4442,301511014,H33z.00,H33z.,195967001,301485011,Asthma unspecified,1
4892,396118011,H33z000,H33z0,734904007,3511368015,Status asthmaticus NOS,1
233,145961000006117,H33z011,H33z0,708090002,3033029011,Severe asthma attack,1
232,396119015,H33z100,H33z1,708038006,3032734012,Asthma attack,1
8335,409865018,H33z111,H33z1,708038006,3032734012,Asthma attack NOS,1
12987,350149018,H33z200,H33z2,233679003,350148014,Late-onset asthma,1
16070,396120014,H33zz00,H33zz,195967001,301485011,Asthma NOS,1
4606,655611000006111,H33zz11,H33zz,31387002,52467014,Exercise induced asthma,1
21232,350152014,H33zz12,H33zz,389145006,1483199016,Allergic asthma NEC,1
93353,149741000006116,H35y600,H35y6,23315001,39131015,Sequoiosis (red-cedar asthma),1
39478,94731013,H35y700,H35y7,56968009,497732010,Wood asthma,1
47684,69311016,H47y000,H47y0,41553006,69311016,Detergent asthma,1
