medcodeid,readcode,readterm,anaemia
110881000006115,D104011,Thalassaemia major - Cooley's anaemia,1
711531000006119,D104z11,Mediterranean anaemia,1
141181000006110,D106.00,Sickle-cell anaemia,1
141201000006111,D106000,Sickle-cell anaemia of unspecified type,1
141251000006110,D106100,Sickle-cell anaemia with no crisis,1
141211000006114,D106200,Sickle-cell anaemia with crisis,1
141221000006118,D106300,Sickle-cell anaemia with haemoglobin C disease,1
141231000006115,D106400,Sickle-cell anaemia with haemoglobin D disease,1
141241000006113,D106500,Sickle-cell anaemia with haemoglobin E disease,1
141191000006113,D106z00,Sickle-cell anaemia NOS,1
582791000006119,D107000,Congenital Heinz-body anaemia,1
294079010,D10y.00,Other specified hereditary haemolytic anaemias,1
294082017,D10yz00,Other specified hereditary haemolytic anaemia NOS,1
294085015,D10z.00,Hereditary haemolytic anaemia NOS,1
454071000006113,D11..00,Acquired haemolytic anaemias,1
500191000006115,D110.00,Autoimmune haemolytic anaemias,1
294093015,D110000,Primary cold-type haemolytic anaemia,1
294094014,D110100,Primary warm-type haemolytic anaemia,1
294097019,D110200,Secondary cold-type haemolytic anaemia,1
294102016,D110z00,Autoimmune haemolytic anaemia NOS,1
294105019,D111.00,Non-autoimmune haemolytic anaemia,1
294106018,D111000,Mechanical haemolytic anaemia,1
495896017,D111100,Microangiopathic haemolytic anaemia,1
294112011,D111y00,Other specified non-autoimmune haemolytic anaemia,1
294115013,D111z00,Non-autoimmune haemolytic anaemia NOS,1
351137013,D112z12,Acquired haemolytic anaemia with haemoglobinuria NEC,1
294139015,D11z.00,Acquired haemolytic anaemia NOS,1
294144010,D1y..00,Other specified haemolytic anaemias,1
294145011,D1z..00,Haemolytic anaemias NOS,1
294148013,D2...00,Aplastic and other anaemias,1
448863016,D20..00,Aplastic anaemia,1
590121000006115,D200.00,Constitutional aplastic anaemia,1
1216286014,D200.15,Hypoplastic anaemia - familial,1
508244016,D200000,Congenital hypoplastic anaemia,1
590151000006112,D200011,Constitutional aplastic anaemia without malformation,1
1216340010,D200100,Fanconi's familial refractory anaemia,1
1216339013,D200111,Fanconi's hypoplastic anaemia,1
399217012,D200200,Constitutional aplastic anaemia with malformation,1
294179012,D200y00,Other specified constitutional aplastic anaemia,1
294182019,D200z00,Constitutional aplastic anaemia NOS,1
497451015,D201.00,Acquired aplastic anaemia,1
351070017,D201.11,Normocytic anaemia due to aplasia,1
294190019,D201000,Aplastic anaemia due to chronic disease,1
399223019,D201100,Aplastic anaemia due to drugs,1
787861000006116,D201111,Hypoplastic anaemia due to drug or chemical substance,1
294198014,D201200,Aplastic anaemia due to infection,1
787871000006111,D201211,Hypoplastic anaemia due to infection,1
294202011,D201300,Aplastic anaemia due to radiation,1
294201016,D201311,Radiation aplastic anaemia,1
294203018,D201400,Aplastic anaemia due to toxic cause,1
787891000006112,D201412,Hypoplastic anaemia due to toxic cause,1
399225014,D201z00,Acquired aplastic anaemia NOS,1
294223017,D204.00,Idiopathic aplastic anaemia,1
294227016,D20z.00,Aplastic anaemia NOS,1
38181000006111,D21..00,Other and unspecified anaemias,1
493120017,D210.00,Sideroblastic anaemia,1
499346019,D210000,Congenital sideroblastic anaemia,1
508873014,D210100,Acquired sideroblastic anaemia,1
294231010,D210200,Pyridoxine-responsive sideroblastic anaemia,1
294232015,D210300,Secondary sideroblastic anaemia due to disease,1
294235018,D210400,Secondary sideroblastic anaemia due to drugs and toxins,1
294236017,D210z00,Sideroblastic anaemia NOS,1
445119014,D211.11,Normocytic anaemia following acute bleed,1
294245016,D212.00,Anaemia in neoplastic disease,1
451077018,D212000,Anaemia in ovarian carcinoma,1
344913019,D213.00,Refractory Anaemia,1
294251014,D214.00,Chronic anaemia,1
454255014,D215.00,Anaemia secondary to renal failure,1
480871000006117,D215000,Anaemia secondary to chronic renal failure,1
15581000006119,D21y.00,Other specified anaemias,1
582091000006116,D21y000,Congenital dyshaematopoietic anaemia,1
496498015,D21y011,Congenital dyserythropoietic anaemia,1
745101000006113,D21y200,Leukoerythroblastic anaemia,1
294275014,D21yy00,Other specified other anaemia,1
294278011,D21yz00,Other specified anaemia NOS,1
399230013,D21z.00,Anaemia unspecified,1
351071018,D21z.11,Secondary anaemia NOS,1
351067016,D21z.12,Normocytic anaemia due to unspecified cause,1
351097012,D21z.13,Macrocytic anaemia of unspecified cause,1
294290013,D2y..00,Other specified anaemias,1
294291012,D2z..00,Other anaemias NOS,1
351062010,D41yz11,Macrocytosis - no anaemia,1
294564014,Dyu0.00,[X]Nutritional anaemias,1
294567019,Dyu0000,[X]Other iron deficiency anaemias,1
294568012,Dyu0100,[X]Other dietary vitamin B12 deficiency anaemia,1
294571016,Dyu0200,[X]Other vitamin B12 deficiency anaemias,1
294572011,Dyu0300,[X]Other folate deficiency anaemias,1
294579019,Dyu0600,"[X]Vitamin B12 deficiency anaemia, unspecified",1
294582012,Dyu1.00,[X]Haemolytic anaemias,1
294593014,Dyu1500,[X]Other autoimmune haemolytic anaemias,1
294596018,Dyu1700,[X]Other acquired haemolytic anaemias,1
294599013,Dyu2.00,[X]Aplastic and other anaemias,1
294603013,Dyu2200,[X]Anaemia in other chronic diseases classified elsewhere,1
294607014,Dyu2400,[X]Other specified anaemias,1
297589013,F381500,Myasthenic syndrome due to pernicious anaemia,1
